case_id,e1,e2,e3,t1,t2,t3,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
random_interior_028,6.3781902,7.9910763,1.2097609,0.055929888,0.023719829,0.097551703,12.975672,72.614724,0.03459296664,81.502957,6.237287,75.710218,0.01662852236,81.502957,-0.05149773859,-0.01648962519,67.989798,-0.2665986568,-0.04931880469,0.417277,0.003002,2601
random_interior_029,7.3947253,4.8684382,2.2652981,0.069499981,0.092911813,0.023001142,12.057162,66.910061,0.01527686098,76.932011,5.684506,66.769478,0.007202475559,76.932011,-0.02553097322,-0.01120240904,56.157492,-0.1267036262,-0.02929360388,0.406448,0.003081,2601
random_interior_030,6.909101,2.5267048,1.9182021,0.062653246,0.091499902,0.03492034,12.277195,68.854247,0.02162268772,78.728318,5.705214,69.306298,0.01004806649,78.728318,-0.03470943723,-0.01398928575,59.723581,-0.1761207528,-0.03766433054,0.392276,0.003202,2601
random_interior_031,8.4026115,3.8102867,3.6214116,0.060788897,0.053912454,0.070823209,11.052666,63.147344,0.0140174565,74.288673,5.548595,66.743161,0.007036962217,74.288673,-0.02545493805,-0.01111084922,56.382764,-0.1268242169,-0.03268506029,0.305288,0.002734,2601
random_interior_032,7.7028133,4.657839,5.403795,0.048984844,0.048119961,0.067957919,11.889692,64.480584,0.01654639152,74.334674,5.788007,67.661550,0.008054928951,74.941523,-0.02915228587,-0.01230145234,57.832747,-0.1391658556,-0.03573360516,0.404247,0.002872,2601
random_interior_033,4.7368867,1.7121367,8.6510512,0.022523042,0.024797701,0.086417798,14.036488,71.302743,0.0342839056,78.408994,6.479478,73.383582,0.01592327883,79.198162,-0.05281206293,-0.01826754679,65.418593,-0.2442484576,-0.05291946144,0.427575,0.002981,2601
random_interior_034,8.3411291,5.0257461,9.855794,0.047350186,0.040919765,0.091791826,11.800454,64.586786,0.00979170482,74.468060,5.897377,68.217182,0.004893487685,75.040447,-0.01724137675,-0.007163932728,58.481438,-0.08297735537,-0.0211857287,0.475905,0.003079,2601
random_interior_035,5.8421233,2.8365495,7.9419811,0.091236937,0.040531711,0.054212357,11.497390,65.072176,0.01353661948,75.422114,5.459509,67.535482,0.006427832508,76.094650,-0.02367966245,-0.01003061571,57.667471,-0.1177364527,-0.028951552,0.448422,0.003298,2601
random_interior_036,7.0940611,2.9032055,2.4575772,0.067011752,0.082944673,0.087950649,10.377044,66.630510,0.01275226868,78.553484,4.898212,68.471638,0.006019375025,78.553484,-0.02162729113,-0.008936937607,58.716110,-0.1228892214,-0.02638135282,0.318388,0.002256,2601
random_interior_037,6.182541,2.9520962,9.9281043,0.0523372,0.086485362,0.045995866,13.422261,72.988236,0.01666951456,81.132522,5.831557,73.302577,0.007246247377,81.840531,-0.02492500984,-0.008597149069,65.535445,-0.124193042,-0.02343209484,0.404550,0.002886,2601
