case_id,e1,e2,e3,t1,t2,t3,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
random_interior_000,6.1210399,8.6794858,3.5461155,0.086535641,0.020388906,0.023249662,10.079642,43.544357,0.02334976713,40.868583,4.513620,45.448768,0.01046977753,42.136357,-0.05019185327,-0.02652725068,47.159250,-0.2316527408,-0.1369795492,1.174776,0.002855,2601
random_interior_001,5.7576975,6.64737,4.7130957,0.094479279,0.068759888,0.05052445,11.703738,55.027505,0.01024185846,55.016425,4.943805,55.131466,0.004326288762,55.016425,-0.01727717224,-0.007249235542,58.048705,-0.08750929424,-0.0393648089,1.216987,0.002124,2601
random_interior_002,7.3912276,3.5624324,7.953434,0.036052491,0.035996509,0.048741302,11.851365,55.770109,0.03054368209,58.327711,5.021518,56.611923,0.01301489763,59.156000,-0.05548809028,-0.02498849282,54.977530,-0.2577228976,-0.1073990312,1.411523,0.002285,2601
random_interior_003,2.2817562,5.8358486,4.6683454,0.073985075,0.099662534,0.032297389,13.120986,60.547181,0.01756506554,60.682616,5.695700,59.249924,0.007624833687,60.755445,-0.02774075845,-0.01076159464,61.210201,-0.1338700073,-0.05263418512,0.856788,0.002057,2601
random_interior_004,4.6176998,1.0245919,8.8369182,0.074347417,0.049898323,0.073415714,14.331401,69.999903,0.02152136075,71.325816,5.655964,70.442394,0.00850940419,71.953362,-0.03009560904,-0.008770232081,70.859339,-0.1501692736,-0.04305981415,1.219987,0.002226,2601
random_interior_005,8.0580403,5.2574263,9.070057,0.090825847,0.053025561,0.080972517,10.966431,52.421176,0.006428052915,52.864243,4.557443,53.989020,0.002671378287,52.864243,-0.01136736328,-0.004917171078,56.750846,-0.0586157261,-0.02762896607,1.474768,0.002308,2601
random_interior_006,2.8791528,6.039714,8.1715335,0.083361753,0.081843373,0.027938514,12.676550,57.993161,0.01557534054,57.402218,5.431609,56.996704,0.006673673689,58.085646,-0.02556275024,-0.01040987119,59.280395,-0.1228673431,-0.05233876276,1.288966,0.002586,2601
random_interior_007,2.2084693,4.0972762,9.7147012,0.075709557,0.064902041,0.035693889,13.738696,64.101920,0.02341305234,64.532981,5.966234,64.015676,0.01020356627,65.067523,-0.03572518038,-0.01256052762,64.842235,-0.1704168493,-0.06044177684,1.090390,0.002145,2601
random_interior_008,4.5671403,1.4803994,6.7376654,0.088071467,0.088747086,0.080066115,11.755479,61.768272,0.01379080118,62.834716,4.468275,61.354510,0.005241904287,63.602080,-0.02079693789,-0.007536498435,63.764127,-0.1173138161,-0.04360001302,1.348277,0.002125,2601
random_interior_009,3.5621546,4.4134487,3.2884498,0.06619971,0.027757041,0.053793528,13.492940,62.622077,0.0400094754,64.642028,5.968223,64.478606,0.01771939451,65.455286,-0.06371777917,-0.02334285952,63.376790,-0.2965215639,-0.1048440119,1.302726,0.002263,2601
random_interior_010,9.9442763,3.472368,9.710551,0.074812848,0.076269476,0.061990319,12.044704,60.651217,0.008963345593,62.954129,4.749439,61.064789,0.003534405156,63.531796,-0.01409372793,-0.005270354234,62.606337,-0.07441731733,-0.02756854349,1.361570,0.002406,2601
random_interior_011,2.2517327,2.4959046,5.8869823,0.098725415,0.082097745,0.028645579,9.920955,44.296482,0.01797338968,39.911105,3.920947,42.349392,0.007103419208,40.512407,-0.0358748128,-0.0188641296,47.423855,-0.1811659268,-0.108860604,1.261875,0.002099,2601
random_interior_012,5.1184473,1.0969,7.0492138,0.031776628,0.099785387,0.050361267,12.563122,59.679046,0.03391029378,58.455661,4.826480,58.664560,0.01306345866,58.810434,-0.05350932082,-0.0204314894,61.819541,-0.269919325,-0.1121361992,1.262558,0.002072,2601
random_interior_013,8.0447173,2.0221482,4.8791174,0.069959052,0.061000577,0.02124066,13.202227,62.702096,0.02777753269,65.065257,5.627247,62.867347,0.01184859595,65.990986,-0.04350878343,-0.01626685105,62.616892,-0.2104003515,-0.07350282278,1.674584,0.002324,2601
random_interior_014,2.4382403,2.2561746,6.9013241,0.054027789,0.079953132,0.065369303,13.733519,65.214187,0.02145441859,66.109663,5.916787,65.442727,0.009243167425,66.878651,-0.03210778578,-0.01082984262,66.271158,-0.1562193811,-0.052943274,1.490005,0.002067,2601
random_interior_015,3.9475596,2.986942,3.1224864,0.077494931,0.060915562,0.073031089,12.755394,62.405672,0.01882853088,64.649694,5.352814,63.579760,0.007901412537,64.649694,-0.02896053083,-0.01022327147,64.708421,-0.1476123048,-0.052181401,1.478843,0.002037,2601
random_interior_016,1.6402559,2.5410632,2.4794423,0.046676955,0.083653014,0.087176541,12.192651,57.513997,0.02575923923,57.768783,5.279898,58.197872,0.01115476513,57.768783,-0.04225096654,-0.0167556502,60.348037,-0.2112685633,-0.08922128625,1.013549,0.002342,2601
random_interior_017,6.56331,6.8211888,3.1261501,0.056570159,0.052487082,0.05737729,14.032694,65.754935,0.02326845671,67.680315,6.191676,67.453097,0.01026679117,67.680315,-0.03468358429,-0.01141231417,67.105832,-0.1658160297,-0.05359121807,1.397722,0.002083,2601
random_interior_018,9.6285509,9.6894321,4.1653982,0.02353777,0.023238838,0.046568179,12.245987,55.004041,0.06176205671,54.695895,5.142638,56.247683,0.02616811012,56.282145,-0.1108985218,-0.04887626082,55.960395,-0.5043452567,-0.2284891059,1.045859,0.002169,2601
random_interior_019,2.0736725,4.0312146,2.0763109,0.020509289,0.051926494,0.029727167,12.836810,58.514953,0.1287639324,58.987084,5.365214,58.942936,0.05428625273,59.472431,-0.2200338983,-0.09177147076,58.308448,-1.003083544,-0.4113938113,1.358786,0.002068,2601
