case_id,e1,e2,e3,t1,t2,t3,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
random_interior_063,8.8621795,4.4529429,8.5665756,0.038494435,0.066993194,0.022623943,12.755857,58.974236,0.02783488594,60.550579,5.282878,59.077466,0.01158860547,61.101541,-0.04682986968,-0.01932498982,58.737179,-0.2182125971,-0.08608360629,0.842039,0.002059,2601
random_interior_064,9.0100101,9.8871735,6.4026648,0.079171536,0.051048909,0.084398567,11.299239,54.118502,0.006925400787,55.486548,4.947381,56.657766,0.00303229268,55.486548,-0.01192847272,-0.004915704879,58.796568,-0.06129086169,-0.0272826782,1.320839,0.002052,2601
random_interior_065,3.1576125,1.2722316,3.0924942,0.06572199,0.021580624,0.052231415,11.624626,54.578350,0.04784419939,57.346120,5.134826,56.516459,0.02120171357,58.528993,-0.08806594919,-0.03964448618,55.006078,-0.4115762412,-0.1755532358,1.323117,0.002097,2601
random_interior_066,3.3446148,6.6338739,6.3383791,0.079412015,0.04796199,0.04578583,13.895363,64.369495,0.02221320167,65.143250,6.060812,65.269614,0.009694716799,65.981748,-0.03378052507,-0.01156719434,65.758695,-0.1598605407,-0.05572218937,0.937696,0.002043,2601
random_interior_067,8.3898278,4.8522111,6.5849754,0.040033202,0.056574025,0.057910365,12.655687,58.722147,0.01796333116,60.285115,5.383179,59.937566,0.007643220468,61.371743,-0.0300396829,-0.01204946846,59.892077,-0.1419388067,-0.05637083356,1.270736,0.002401,2601
random_interior_068,6.8437073,5.5781726,3.3768932,0.08202757,0.082530649,0.037652257,12.379799,59.268731,0.01209454256,61.093393,5.181439,58.476298,0.005062047994,61.093393,-0.019397661,-0.007720966801,60.206378,-0.09769579492,-0.03801011936,1.350756,0.002013,2601
random_interior_069,5.1279651,2.2885127,4.4190604,0.07085063,0.025758533,0.037830418,11.934140,55.602090,0.03630820416,57.940688,5.222029,57.267452,0.01594569832,59.084134,-0.06524751862,-0.0286598855,56.096012,-0.3042381283,-0.1279604641,0.983666,0.002082,2601
random_interior_070,2.4932301,3.9706008,7.6185678,0.076096789,0.070447996,0.081570623,13.194832,62.705996,0.0131094618,63.053054,5.830235,63.503555,0.005792513134,63.427790,-0.02006865592,-0.007019168165,65.026561,-0.09935300169,-0.0367079,1.387594,0.002119,2601
random_interior_071,2.0962262,1.7736387,7.081676,0.031385739,0.072247499,0.098675474,11.690119,51.513245,0.01734790833,47.231850,5.284505,53.165494,0.007844009496,49.120553,-0.03098298814,-0.01345359331,56.578911,-0.1483980482,-0.07830690448,0.841952,0.002092,2601
random_interior_072,3.3496646,8.8290556,4.4963989,0.054749381,0.07293515,0.075984613,13.167418,61.891529,0.01393599071,62.809097,5.832860,63.178180,0.006173319596,62.809097,-0.0215443505,-0.007660311243,64.446956,-0.1058369286,-0.03936170967,1.005951,0.002086,2601
