stage,step,total,pde,bc_sides,free_top,free_bot,load,energy,impact_invariance,impact_contact,friction_coulomb,friction_stick,interface_u,data
adam,0,196.19171142578125,0.008638748899102211,0.0005854717455804348,0.03474295884370804,0.020477211102843285,0.04978182166814804,-0.0020522791892290115,0.0,0.0,0.0,0.0,0.00010821547039085999,0.4890335202217102
adam,1,1413.7841796875,39.87939453125,0.0016473353607580066,0.06984051316976547,0.03233136609196663,0.12088876962661743,-0.00040858564898371696,0.0,0.0,0.0,0.0,0.10419101268053055,0.4636704921722412
adam,2,3870.5830078125,118.64024353027344,0.0015824449947103858,0.12622617185115814,0.08278312534093857,0.10294391214847565,0.01076732762157917,0.0,0.0,0.0,0.0,0.4175785779953003,0.4635826051235199
adam,3,290.5622253417969,3.443215847015381,0.001395020168274641,0.09700263291597366,0.09645027667284012,0.07719884067773819,-0.002490368904545903,0.0,0.0,0.0,0.0,0.005996911320835352,0.46236464381217957
adam,4,2111.947509765625,61.903785705566406,0.001244481187313795,0.06093071401119232,0.08566882461309433,0.05050881579518318,0.005122905597090721,0.0,0.0,0.0,0.0,0.23099444806575775,0.4629412293434143
adam,5,2090.7548828125,61.12616729736328,0.0011558625847101212,0.05522848665714264,0.06580852717161179,0.04999412223696709,0.005289087537676096,0.0,0.0,0.0,0.0,0.23518472909927368,0.4651888608932495
adam,6,601.0819702148438,13.23112678527832,0.0011103206779807806,0.0638270452618599,0.04770014062523842,0.05884084105491638,-0.0007059939671307802,0.0,0.0,0.0,0.0,0.055485840886831284,0.4678245782852173
adam,7,499.1010437011719,10.100996971130371,0.0010880561312660575,0.07287436723709106,0.030971359461545944,0.06939860433340073,-0.001973791280761361,0.0,0.0,0.0,0.0,0.025020187720656395,0.4703647494316101
adam,8,1151.691162109375,31.16521644592285,0.0010717284167185426,0.06504577398300171,0.01970619708299637,0.06551133841276169,-4.63810283690691e-05,0.0,0.0,0.0,0.0,0.09094680845737457,0.4726574122905731
adam,9,1050.0252685546875,27.794097900390625,0.0010465983068570495,0.04417307674884796,0.02148664928972721,0.05392881855368614,-0.00023699062876403332,0.0,0.0,0.0,0.0,0.08641072362661362,0.474907249212265
adam,10,474.76800537109375,9.165535926818848,0.0010116462362930179,0.029990117996931076,0.03785694018006325,0.058061182498931885,-0.00205474765971303,0.0,0.0,0.0,0.0,0.02852623537182808,0.47726714611053467
adam,11,286.7796325683594,3.094992160797119,0.0009731569443829358,0.03094286099076271,0.06047103926539421,0.08308762311935425,-0.0027382199186831713,0.0,0.0,0.0,0.0,0.005232995841652155,0.47970399260520935
adam,12,580.9964599609375,12.601929664611816,0.0009378503309562802,0.03842505067586899,0.0759473443031311,0.11011739075183868,-0.0018369173631072044,0.0,0.0,0.0,0.0,0.03160257637500763,0.4820690155029297
adam,13,822.1522216796875,20.36117935180664,0.000910113740246743,0.040222734212875366,0.07604610919952393,0.11823893338441849,-0.0009992164559662342,0.0,0.0,0.0,0.0,0.05651649832725525,0.4842233657836914
adam,14,694.2894287109375,16.175779342651367,0.0008909478201530874,0.03399581462144852,0.06297717243432999,0.1051129698753357,-0.0012930191587656736,0.0,0.0,0.0,0.0,0.046593617647886276,0.48611176013946533
adam,15,385.9129638671875,6.163562774658203,0.0008791316067799926,0.026257842779159546,0.04460854455828667,0.08377428352832794,-0.002194663742557168,0.0,0.0,0.0,0.0,0.01814468950033188,0.4877374470233917
adam,16,219.5269012451172,0.7614811658859253,0.000872208911459893,0.023770667612552643,0.028138799592852592,0.06808774173259735,-0.002709100255742669,0.0,0.0,0.0,0.0,0.0021741471718996763,0.48913636803627014
adam,17,292.0156555175781,3.100855827331543,0.0008669171365909278,0.027947377413511276,0.017245646566152573,0.06348347663879395,-0.0025187458377331495,0.0,0.0,0.0,0.0,0.008306682109832764,0.49037477374076843
adam,18,442.0090637207031,7.954793930053711,0.0008601809968240559,0.03483137860894203,0.011927814222872257,0.06639847904443741,-0.002097147051244974,0.0,0.0,0.0,0.0,0.021296469494700432,0.49153080582618713
adam,19,477.90032958984375,9.113279342651367,0.0008505760924890637,0.03913275524973869,0.01001693680882454,0.06997577846050262,-0.0019982149824500084,0.0,0.0,0.0,0.0,0.02352423407137394,0.4926524758338928
adam,20,378.55743408203125,5.880561828613281,0.000839029555208981,0.03843213990330696,0.009309425950050354,0.0703997015953064,-0.0022488869726657867,0.0,0.0,0.0,0.0,0.014218120835721493,0.4937264323234558
adam,21,264.9094543457031,2.1643123626708984,0.0008282453054562211,0.03395140543580055,0.008778289891779423,0.06845974177122116,-0.00246659223921597,0.0,0.0,0.0,0.0,0.005791273899376392,0.49467870593070984
adam,22,241.4937744140625,1.3549069166183472,0.0008215153939090669,0.02846423350274563,0.00843991618603468,0.06690165400505066,-0.0023670243099331856,0.0,0.0,0.0,0.0,0.00774950347840786,0.49540573358535767
adam,23,300.6248779296875,3.2224996089935303,0.0008216045680455863,0.02410941570997238,0.008688176050782204,0.06752470135688782,-0.002046835608780384,0.0,0.0,0.0,0.0,0.017540069296956062,0.49581995606422424
adam,24,356.8405456542969,5.020598411560059,0.0008300135377794504,0.021574681624770164,0.009796672500669956,0.0702301561832428,-0.001835055067203939,0.0,0.0,0.0,0.0,0.02497931383550167,0.49589070677757263
adam,25,345.24884033203125,4.6560564041137695,0.0008467537700198591,0.02048700489103794,0.011770355515182018,0.07379546761512756,-0.0019482438219711185,0.0,0.0,0.0,0.0,0.02304285764694214,0.4956584572792053
adam,26,277.616943359375,2.500725507736206,0.000870503718033433,0.02018616534769535,0.014434917829930782,0.077094167470932,-0.0023111423943191767,0.0,0.0,0.0,0.0,0.01366459671407938,0.49521738290786743
adam,27,215.6129913330078,0.5331862568855286,0.0008988769259303808,0.020213859155774117,0.017568331211805344,0.07972972095012665,-0.002669835928827524,0.0,0.0,0.0,0.0,0.004400841426104307,0.49468278884887695
adam,28,205.83729553222656,0.24737775325775146,0.0009287346038036048,0.020389549434185028,0.02095697447657585,0.08194798231124878,-0.00283107440918684,0.0,0.0,0.0,0.0,0.0010495522292330861,0.49415886402130127
adam,29,241.4999237060547,1.418592929840088,0.0009566899971105158,0.020703386515378952,0.02438131719827652,0.0842619240283966,-0.0028003633487969637,0.0,0.0,0.0,0.0,0.003345632227137685,0.49371665716171265
adam,30,278.12896728515625,2.6104228496551514,0.000979865319095552,0.021224968135356903,0.027585469186306,0.08714289963245392,-0.002727207262068987,0.0,0.0,0.0,0.0,0.0066420529037714005,0.49338701367378235
adam,31,280.05255126953125,2.6733336448669434,0.0009966519428417087,0.02204233966767788,0.0302699226886034,0.0908280536532402,-0.002740999683737755,0.0,0.0,0.0,0.0,0.006986759137362242,0.493166983127594
adam,32,250.21597290039062,1.7051222324371338,0.0010070535354316235,0.023171082139015198,0.03211444988846779,0.09516553580760956,-0.002842635614797473,0.0,0.0,0.0,0.0,0.004450221545994282,0.4930344820022583
adam,33,219.08485412597656,0.6915626525878906,0.001012458116747439,0.024447014555335045,0.032827477902173996,0.09951627254486084,-0.0029372842982411385,0.0,0.0,0.0,0.0,0.0020573437213897705,0.4929605722427368
adam,34,211.3790740966797,0.43258336186408997,0.0010150359012186527,0.025505905970931053,0.032219793647527695,0.1028461679816246,-0.002946399850770831,0.0,0.0,0.0,0.0,0.002272234996780753,0.4929160177707672
adam,35,225.3314208984375,0.8733592629432678,0.0010170608293265104,0.025925127789378166,0.03028925321996212,0.10408581793308258,-0.0028803658206015825,0.0,0.0,0.0,0.0,0.004741682205349207,0.4928736388683319
adam,36,239.98712158203125,1.340167760848999,0.0010203664423897862,0.025470759719610214,0.027279315516352654,0.10263296216726303,-0.0028161625377833843,0.0,0.0,0.0,0.0,0.007030041888356209,0.49281010031700134
adam,37,238.1403045654297,1.2800674438476562,0.0010260440176352859,0.024275925010442734,0.02365795336663723,0.09870141744613647,-0.0028193918988108635,0.0,0.0,0.0,0.0,0.007095628883689642,0.4927089810371399
adam,38,221.38035583496094,0.7454141974449158,0.0010343838948756456,0.02279656007885933,0.019996732473373413,0.0932641327381134,-0.002890226198360324,0.0,0.0,0.0,0.0,0.004991412628442049,0.49256330728530884
adam,39,205.3425750732422,0.23982304334640503,0.0010449887486174703,0.021556789055466652,0.01679817959666252,0.0876113697886467,-0.0029759476892650127,0.0,0.0,0.0,0.0,0.0024461171124130487,0.4923757314682007
adam,40,203.03439331054688,0.18017008900642395,0.0010569889564067125,0.02086310274899006,0.014360783621668816,0.0828130841255188,-0.0030261261854320765,0.0,0.0,0.0,0.0,0.0010973579483106732,0.49215632677078247
