model,mesh,h,peak_rel_err,l2_error_vs_32
one_layer,4x4x2,0.25,38.11575351541374,48.96533705964829
three_layer,4x4x2,0.25,41.841873921629514,51.7922045832841
one_layer,8x8x4,0.125,14.76905674935108,19.007596363866927
three_layer,8x8x4,0.125,16.858739542526603,20.663137198801834
one_layer,16x16x8,0.0625,3.6902826930713926,4.7116615485732245
three_layer,16x16x8,0.0625,4.197153039126553,5.174729269191818
