case_id,E,thickness,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
one_layer_random_031,9.710551,0.11851606,22.073165,100.842448,0.03971959506,100.586317,9.171005,102.183356,0.01660520551,101.103194,-0.03921345699,0.001006568958,102.872987,-0.1799451737,-0.00120772822,1.685675,0.003201,2601
one_layer_random_032,7.330316,0.1024879,21.226793,97.629168,0.07252601517,98.296359,8.596628,98.489035,0.02960137527,98.719091,-0.07471288315,-0.001563133353,98.006992,-0.3416720407,-0.006910057669,1.214258,0.004809,2601
one_layer_random_033,2.2517327,0.066621162,20.736946,96.155591,0.6831810028,97.219458,7.972691,96.405492,0.2644280828,97.342499,-0.7190151876,-0.03459110673,95.271794,-3.294511103,-0.09160526871,1.998707,0.003341,2601
one_layer_random_034,5.8869823,0.14840677,19.274430,91.641127,0.03360959471,94.094292,8.523564,94.596874,0.01488769299,94.690027,-0.0374011416,-0.002782328902,92.778810,-0.1743740006,-0.01217190097,1.307847,0.005605,2601
one_layer_random_035,7.9859963,0.060806974,21.142647,97.690150,0.2462034012,98.331468,8.053457,97.906097,0.09435018944,98.429888,-0.253839216,-0.00723467198,97.253749,-1.164487111,-0.0194298394,1.500923,0.003082,2601
one_layer_random_036,5.1184473,0.051076667,21.141886,97.874183,0.5849492414,98.461222,7.886455,97.999902,0.2192435582,98.519314,-0.6016662362,-0.01613265391,97.375917,-2.766778865,-0.04257458014,1.599706,0.003012,2601
one_layer_random_037,7.0492138,0.064720785,21.068450,97.360680,0.2382627272,98.094031,8.082188,97.610675,0.09199711765,98.211565,-0.2467224148,-0.008009339783,96.863717,-1.13089824,-0.02159292647,2.061306,0.008501,2601
one_layer_random_038,9.975856,0.087951584,21.569150,98.865976,0.07963752593,99.188087,8.573100,99.428974,0.03191724254,99.445502,-0.08078303935,-0.0007373682063,99.255112,-0.369219587,-0.003729025338,2.439627,0.009109,2601
one_layer_random_039,8.0447173,0.061357203,21.143253,97.682584,0.2390600974,98.326227,8.062211,97.903711,0.09171576072,98.427242,-0.2464973307,-0.007038342743,97.250558,-1.130668472,-0.01892719203,1.927835,0.002985,2601
one_layer_random_040,4.8791174,0.11244882,20.457116,94.954944,0.08336281184,96.382311,8.413213,96.160093,0.03452141624,96.934776,-0.08895130577,-0.004546068362,94.912627,-0.4075003189,-0.01615636874,2.225209,0.003001,2601
one_layer_random_041,5.6125649,0.051550824,21.147272,97.883415,0.5220558181,98.468078,7.897352,98.014020,0.1959038967,98.528308,-0.5369070261,-0.01431075377,97.394669,-2.468667419,-0.03781805137,1.400086,0.003256,2601
one_layer_random_042,2.4382403,0.063957496,20.805106,96.440576,0.7005402524,97.425103,7.963598,96.667050,0.269871923,97.533698,-0.7344811679,-0.03280529303,95.618378,-3.367155385,-0.08670077982,1.435946,0.002922,2601
one_layer_random_043,6.9013241,0.092534736,21.089801,97.140472,0.09898463396,97.943196,8.423475,97.780884,0.0398651327,98.250223,-0.1026957755,-0.003097717209,97.077007,-0.4693483486,-0.01031236628,2.094621,0.004383,2601
