configuration,mean_mae,worst_mae,source_artifact,source_note
One-layer,1.56,2.87,graphs/data/one_layer_random_generalization_summary.json,Volume MAE over 100 random interior parameter cases using one-layer-workflow/pinn_model.pth.
Three-layer,2.53,4.66,graphs/data/three_layer_final_supervised_random100_summary.json,Volume MAE over 100 random interior parameter cases using three-layer-workflow/pinn_model_final.pth.
